,date,sentiment,Count,ticker,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,diff,bin_sentiment,bin_diff
76,2014-08-21,12,60,AAPL,100.57,100.94,100.11,100.58,33421900.0,0.0,1.0,95.5165798378,95.8679881558,95.0796938208,95.5260773599,33421900.0,0.01,1,1
77,2014-08-22,-9,63,AAPL,100.29,101.47,100.19,101.32,44102400.0,0.0,1.0,95.2506492188,96.3713568275,95.1556739977,96.2288939959,44102400.0,1.03,-1,1
78,2014-08-25,9,80,AAPL,101.79,102.17,101.28,101.54,40144700.0,0.0,1.0,96.6752775349,97.036183375,96.1909039074,96.4378394822,40144700.0,-0.25,1,-1
79,2014-08-26,31,79,AAPL,101.42,101.5,100.86,100.889,33119800.0,0.0,1.0,96.323869217,96.3998493938,95.7920079789,95.819550793,33119800.0,-0.531,1,-1
80,2014-08-27,18,96,AAPL,101.02,102.57,100.7,102.13,46827400.0,0.0,1.0,95.9439683326,97.4160842593,95.6400476252,96.9981932866,46827400.0,1.11,1,1
81,2014-08-28,-3,27,AAPL,101.59,102.78,101.56,102.25,68389800.0,0.0,1.0,96.4853270928,97.6155322236,96.4568345265,97.1121635519,68389800.0,0.66,-1,1
82,2014-08-29,-9,25,AAPL,102.86,102.9,102.2,102.5,44567000.0,0.0,1.0,97.6915124005,97.7295024889,97.0646759414,97.3496016046,44567000.0,-0.36,-1,-1
83,2014-09-02,29,26,AAPL,103.06,103.74,102.72,103.3,53491400.0,0.0,1.0,97.8814628426,98.527294346,97.558547091,98.1094033732,53491400.0,0.24,1,1
84,2014-09-03,42,125,AAPL,103.1,103.2,98.58,98.94,125233100.0,0.0,1.0,97.9194529311,98.0144281521,93.6265729384,93.9684837342,125233100.0,-4.16,1,-1
85,2014-09-04,21,47,AAPL,98.85,100.09,97.79,98.12,85594800.0,0.0,1.0,93.8830060353,95.0606987766,92.8762686918,93.1896869214,85594800.0,-0.73,1,-1
86,2014-09-05,3,60,AAPL,98.8,99.39,98.31,98.97,58353200.0,0.0,1.0,93.8355184247,94.3958722291,93.3701398414,93.9969763006,58353200.0,0.17,1,1
87,2014-09-08,50,112,AAPL,99.3,99.31,98.05,98.36,46277800.0,0.0,1.0,94.3103945301,94.3198920522,93.1232042666,93.417627452,46277800.0,-0.94,1,-1
88,2014-09-09,84,255,AAPL,99.08,103.08,96.14,97.99,189560600.0,0.0,1.0,94.1014490437,97.9004578868,91.3091775441,93.066219134,189560600.0,-1.09,1,-1
89,2014-09-10,74,184,AAPL,98.01,101.11,97.76,101.0,100741900.0,0.0,1.0,93.0852141782,96.0294460316,92.8477761255,95.9249732884,100741900.0,2.99,1,1
90,2014-09-11,27,170,AAPL,100.41,101.44,99.62,101.43,62353100.0,0.0,1.0,95.3646194841,96.3428642612,94.6143152376,96.3333667391,62353100.0,1.02,1,1
91,2014-09-12,23,55,AAPL,101.21,102.19,101.08,101.66,62626100.0,0.0,1.0,96.1244212527,97.0551784193,96.0009534653,96.5518097475,62626100.0,0.45,1,1
92,2014-09-15,47,154,AAPL,102.81,103.05,101.44,101.63,61216500.0,0.0,1.0,97.6440247899,97.8719653205,96.3428642612,96.5233171812,61216500.0,-1.18,1,-1
93,2014-09-16,77,166,AAPL,99.8,101.26,98.89,100.86,66818200.0,0.0,1.0,94.7852706355,96.1719088632,93.9209961237,95.7920079789,66818200.0,1.06,1,1
94,2014-09-17,24,178,AAPL,101.27,101.8,100.5922,101.58,60892400.0,0.0,1.0,96.1814063853,96.6847750571,95.5376643369,96.4758295707,60892400.0,0.31,1,1
95,2014-09-18,5,63,AAPL,101.93,102.35,101.56,101.79,37023900.0,0.0,1.0,96.8082428445,97.207138773,96.4568345265,96.6752775349,37023900.0,-0.14,1,-1
96,2014-09-19,30,85,AAPL,102.29,102.35,100.88,100.96,70838500.0,0.0,1.0,97.1501536403,97.207138773,95.8110030231,95.8869832,70838500.0,-1.33,1,-1
97,2014-09-22,46,102,AAPL,101.8,102.14,100.58,101.06,52722000.0,0.0,1.0,96.6847750571,97.0076908087,95.5260773599,95.9819584211,52722000.0,-0.74,1,-1
98,2014-09-23,117,235,AAPL,100.6,102.94,100.54,102.64,63347200.0,0.0,1.0,95.5450724041,97.7674925773,95.4880872715,97.4825669141,63347200.0,2.04,1,1
